Florida,54644.0,53681.0,51176.0,48825.0,46140.0,48532.0,47886.0,46071.0,45105.0,44066.0,45631.0,44857.0,45794.0,45676.0,42990.0,40535.0,38972.0,38024.0,36421.0,38856.0,35831.0,34909.0,32455.0,30641.0,29745.0,29294.0,28550.0,27349.0,27252.0,26685.0,26085.0,25406.0,24489.0,22849.0,21343.0,19785.0
Georgia,55821.0,57016.0,53527.0,50768.0,49555.0,46992.0,47439.0,48121.0,45973.0,44117.0,43340.0,46227.0,48641.0,49344.0,45926.0,40984.0,42438.0,42939.0,42576.0,41901.0,39425.0,38665.0,36663.0,32496.0,34099.0,31467.0,31663.0,28797.0,27212.0,27561.0,27542.0,26566.0,26714.0,24370.0,21049.0,19984.0
Hawaii,80108.0,73575.0,72133.0,64514.0,71223.0,64235.0,61408.0,56263.0,59047.0,59539.0,55649.0,61521.0,64022.0,60470.0,59586.0,56242.0,51834.0,47303.0,47439.0,51546.0,44504.0,40827.0,40934.0,41772.0,42851.0,42255.0,42662.0,42113.0,37246.0,38921.0,35035.0,33024.0,35022.0,29003.0,28961.0,28877.0
Idaho,58728.0,60208.0,56564.0,51624.0,53438.0,48467.0,51767.0,47922.0,47459.0,47050.0,46778.0,47420.0,49184.0,46213.0,44176.0,44358.0,42372.0,37715.0,38241.0,37611.0,35800.0,36680.0,33404.0,34709.0,32676.0,31536.0,31010.0,27704.0,26116.0,25305.0,24654.0,23450.0,20755.0,20749.0,20761.0,21092.0
Illinois,70145.0,64609.0,61386.0,60413.0,54916.0,53937.0,57196.0,51738.0,50637.0,50728.0,52870.0,53254.0,52506.0,48671.0,48398.0,46077.0,45153.0,42710.0,46171.0,46064.0,46330.0,43178.0,41283.0,39554.0,38071.0,35081.0,32857.0,31551.0,31884.0,32542.0,31300.0,29524.0,27084.0,26511.0,24870.0,23752.0
Indiana,59892.0,58873.0,56094.0,51983.0,48060.0,49455.0,50553.0,46158.0,44445.0,46139.0,44305.0,46520.0,47453.0,45407.0,42437.0,42329.0,42425.0,41047.0,40379.0,40865.0,40838.0,39731.0,38889.0,35147.0,33385.0,27858.0,29475.0,28530.0,27089.0,26928.0,25898.0,26293.0,22519.0,22728.0,22675.0,22770.0
Iowa,68718.0,63481.0,59094.0,60855.0,57810.0,60156.0,54855.0,53442.0,50219.0,49016.0,50721.0,50142.0,48908.0,48126.0,46500.0,43391.0,41384.0,41049.0,40976.0,40991.0,41098.0,37019.0,33783.0,33209.0,35519.0,33079.0,28663.0,28743.0,28553.0,27288.0,26265.0,24305.0,22190.0,22459.0,20927.0,19863.0
Kansas,63938.0,57872.0,56810.0,54865.0,53444.0,47820.0,51485.0,50003.0,46147.0,46054.0,44717.0,47877.0,48497.0,45552.0,42027.0,41066.0,44232.0,42619.0,41415.0,41059.0,37348.0,36711.0,36471.0,32585.0,30341.0,28322.0,29770.0,30346.0,29295.0,29917.0,26862.0,25566.0,25583.0,23926.0,22788.0,24629.0
Kentucky,54555.0,51348.0,45369.0,42387.0,42786.0,44879.0,42158.0,41086.0,39856.0,41104.0,42664.0,41148.0,39452.0,39485.0,36699.0,35610.0,36936.0,36762.0,38437.0,36265.0,33738.0,36252.0,33452.0,32413.0,29810.0,26595.0,24376.0,23485.0,23764.0,24780.0,23283.0,19907.0,20673.0,19874.0,17361.0,17680.0
Louisiana,49973.0,43903.0,42196.0,45922.0,42406.0,46425.0,39622.0,39085.0,40658.0,39300.0,45433.0,39563.0,41313.0,36488.0,37236.0,36429.0,33507.0,34008.0,33322.0,30718.0,32654.0,31735.0,33260.0,30262.0,27949.0,25676.0,26312.0,25439.0,25299.0,22405.0,22861.0,20497.0,21349.0,20890.0,21179.0,18949.0
Maine,58663.0,51664.0,50856.0,50756.0,51710.0,54957.0,50121.0,49158.0,49693.0,47931.0,47502.0,47228.0,47894.0,45642.0,43923.0,41329.0,37113.0,36853.0,36612.0,37266.0,38862.0,35640.0,32772.0,34696.0,33858.0,30316.0,27438.0,29617.0,27868.0,27464.0,28221.0,26402.0,23600.0,23424.0,20519.0,20648.0
Maryland,86223.0,81084.0,73760.0,73594.0,76165.0,69353.0,65262.0,71836.0,68876.0,64201.0,64186.0,63711.0,65630.0,63668.0,60512.0,57103.0,52314.0,56407.0,53530.0,54535.0,52205.0,50016.0,46685.0,43993.0,41041.0,39198.0,39939.0,37203.0,36952.0,38857.0,36016.0,36552.0,34970.0,30604.0,30136.0,29708.0
Massachusetts,86345.0,73227.0,72266.0,67861.0,63151.0,62529.0,62963.0,63656.0,63313.0,60934.0,59373.0,60320.0,58463.0,55330.0,56017.0,52019.0,50955.0,49855.0,52253.0,46753.0,44005.0,42345.0,42023.0,39494.0,38574.0,40500.0,37064.0,36359.0,35714.0,36247.0,36086.0,33213.0,32241.0,30339.0,28207.0,26959.0
Michigan,60449.0,57700.0,57091.0,54203.0,52005.0,56567.0,48801.0,50015.0,48879.0,46276.0,45994.0,49788.0,49370.0,48647.0,45933.0,42256.0,45022.0,42715.0,45047.0,45512.0,46089.0,41821.0,38742.0,39225.0,36426.0,35284.0,32662.0,32267.0,32117.0,29937.0,30775.0,29472.0,27702.0,26605.0,24242.0,22965.0
Minnesota,71817.0,71920.0,70218.0,68730.0,67244.0,64324.0,60907.0,61795.0,57820.0,52321.0,56090.0,54925.0,58058.0,56211.0,54215.0,56104.0,52823.0,54622.0,52681.0,54251.0,47038.0,47926.0,42564.0,40991.0,37933.0,33644.0,33682.0,30981.0,29479.0,31465.0,30185.0,29087.0,28082.0,26443.0,23856.0,24436.0
Mississippi,42781.0,43441.0,41099.0,40037.0,35521.0,32338.0,40850.0,36641.0,41090.0,38160.0,35078.0,36446.0,37279.0,34733.0,32875.0,34755.0,32728.0,30882.0,30161.0,34299.0,32478.0,29120.0,28499.0,26677.0,26538.0,25400.0,22191.0,20570.0,19475.0,20178.0,19917.0,18166.0,18513.0,16513.0,16413.0,15430.0
